,acc_ensemble,acc_1,acc_2,acc_3,acc_4,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,loss_1,loss_2,loss_3,loss_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,1.0,1.0,1.0,1.0,1.0,0.8998000025749207,0.8950999975204468,0.8952999711036682,0.896399974822998,0.8953999876976013,0.0064428760670125484,0.0020656599663197994,0.003430458251386881,0.0023070452734827995,0.3831610679626465,0.385959655046463,0.37271010875701904,0.37386998534202576
1,1.0,1.0,1.0,1.0,1.0,0.9032999873161316,0.8989999890327454,0.897599995136261,0.9003000259399414,0.8998000025749207,0.000763184274546802,0.0011134850792586803,0.000978032941929996,0.0006321333348751068,0.38649019598960876,0.38570263981819153,0.3733460307121277,0.37290334701538086
2,1.0,1.0,1.0,1.0,1.0,0.9031000137329102,0.8984000086784363,0.8971999883651733,0.9018999934196472,0.8992000222206116,0.0008851659949868917,0.0007916843169368804,0.0007195166544988751,0.0011069327592849731,0.3931599259376526,0.3917495012283325,0.3804863393306732,0.3814544379711151
3,1.0,1.0,1.0,1.0,1.0,0.9039000272750854,0.8989999890327454,0.8978000283241272,0.9009000062942505,0.8995000123977661,0.0003487378708086908,0.00019334835815243423,0.0004015097511000931,0.00031757692340761423,0.3998149037361145,0.39809995889663696,0.38742220401763916,0.3888431191444397
4,1.0,1.0,1.0,1.0,1.0,0.9034000039100647,0.8984000086784363,0.8984000086784363,0.9014999866485596,0.8996000289916992,0.0003860839060507715,0.00029499296215362847,0.00019247145974077284,0.00019342669111210853,0.4044317603111267,0.40263184905052185,0.39249387383461,0.3936746120452881
5,1.0,1.0,1.0,1.0,1.0,0.9031999707221985,0.8982999920845032,0.8988000154495239,0.9010999798774719,0.8999999761581421,0.00023481229436583817,0.00022077070025261492,0.00039102957816794515,0.00027790857711806893,0.4083711504936218,0.4063127040863037,0.3967822790145874,0.39797621965408325
6,1.0,1.0,1.0,1.0,1.0,0.9041000008583069,0.8991000056266785,0.8992000222206116,0.9014000296592712,0.9003000259399414,0.00023714127019047737,0.00012885064643342048,0.00012259518553037196,0.0002869255549740046,0.41182032227516174,0.4100985825061798,0.40040215849876404,0.4014323353767395
7,1.0,1.0,1.0,1.0,1.0,0.9039999842643738,0.899399995803833,0.8988999724388123,0.9010999798774719,0.8999000191688538,8.612354577053338e-05,0.00025729398475959897,0.00011684488708851859,0.0002359942882321775,0.4153205454349518,0.4136650264263153,0.40414613485336304,0.40509364008903503
8,1.0,1.0,1.0,1.0,1.0,0.90420001745224,0.8992999792098999,0.8985000252723694,0.9010000228881836,0.8999000191688538,0.00019661163969431072,0.00014301799819804728,0.00014596096298191696,8.062868437264115e-05,0.4189155697822571,0.4172145426273346,0.4077703356742859,0.4089547395706177
9,1.0,1.0,1.0,1.0,1.0,0.90420001745224,0.899399995803833,0.8988999724388123,0.9010000228881836,0.9003999829292297,0.00011001164239132777,0.0001880086783785373,7.929168350528926e-05,0.00016628287266939878,0.421734094619751,0.4200986325740814,0.4106901288032532,0.41218554973602295
