,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.59375,0.8125,0.78125,0.84375,0.0625,3.8849501609802246,2.596121311187744,3.3695473670959473,3.3255228996276855,0.3171499967575073,0.3171499967575073,0.3171499967575073,0.3171499967575073,0.3171499967575073,4.325075626373291,4.325075626373291,4.325075626373291,4.325075626373291
1,0.4375,0.46875,0.75,1.0,0.03125,3.7991278171539307,3.886589288711548,2.7772226333618164,2.1973423957824707,0.5316749811172485,0.5316749811172485,0.5316749811172485,0.5316749811172485,0.5316749811172485,3.5482609272003174,3.5482609272003174,3.5482609272003174,3.5482609272003174
2,0.96875,1.0,0.96875,1.0,0.0625,2.091756820678711,1.6645481586456299,1.7009766101837158,1.3148359060287476,0.5885375142097473,0.5885375142097473,0.5885375142097473,0.5885375142097473,0.5885375142097473,3.259751558303833,3.259751558303833,3.259751558303833,3.259751558303833
3,0.96875,1.0,1.0,0.96875,0.25,1.2822892665863037,1.0075112581253052,1.117816686630249,1.8726723194122314,0.5914000272750854,0.5914000272750854,0.5914000272750854,0.5914000272750854,0.5914000272750854,3.1556925773620605,3.1556925773620605,3.1556925773620605,3.1556925773620605
4,0.96875,1.0,1.0,1.0,0.125,2.0162241458892822,1.0193450450897217,0.9811542630195618,0.9444518685340881,0.5811874866485596,0.5811874866485596,0.5811874866485596,0.5811874866485596,0.5811874866485596,3.1059045791625977,3.1059045791625977,3.1059045791625977,3.1059045791625977
5,1.0,1.0,1.0,1.0,0.21875,1.162527322769165,0.999896764755249,1.0776840448379517,0.7527295351028442,0.56826251745224,0.56826251745224,0.56826251745224,0.56826251745224,0.56826251745224,3.0873804092407227,3.0873804092407227,3.0873804092407227,3.0873804092407227
6,0.96875,1.0,1.0,1.0,0.0625,1.8943665027618408,0.7010455131530762,0.893553614616394,0.699629008769989,0.5553749799728394,0.5553749799728394,0.5553749799728394,0.5553749799728394,0.5553749799728394,3.071065902709961,3.071065902709961,3.071065902709961,3.071065902709961
7,0.96875,1.0,1.0,1.0,0.3125,0.8889975547790527,0.6603953838348389,0.638510525226593,0.752360463142395,0.5428375005722046,0.5428375005722046,0.5428375005722046,0.5428375005722046,0.5428375005722046,3.066488265991211,3.066488265991211,3.066488265991211,3.066488265991211
8,0.96875,1.0,1.0,0.96875,0.25,1.1943988800048828,0.6712734699249268,0.7674679756164551,1.0690529346466064,0.5313125252723694,0.5313125252723694,0.5313125252723694,0.5313125252723694,0.5313125252723694,3.058438777923584,3.058438777923584,3.058438777923584,3.058438777923584
9,1.0,1.0,1.0,1.0,0.25,0.6149947643280029,0.6550091505050659,1.8930857181549072,0.6612112522125244,0.5200625061988831,0.5200625061988831,0.5200625061988831,0.5200625061988831,0.5200625061988831,3.056525230407715,3.056525230407715,3.056525230407715,3.056525230407715
10,1.0,0.96875,1.0,1.0,0.15625,0.5832276344299316,0.6770541667938232,0.42639589309692383,0.45225268602371216,0.512987494468689,0.512987494468689,0.512987494468689,0.512987494468689,0.512987494468689,3.04703950881958,3.04703950881958,3.04703950881958,3.04703950881958
11,1.0,1.0,1.0,1.0,0.1875,0.308671236038208,0.6591317057609558,0.2985890209674835,0.47072094678878784,0.50433748960495,0.50433748960495,0.50433748960495,0.50433748960495,0.50433748960495,3.0452377796173096,3.0452377796173096,3.0452377796173096,3.0452377796173096
12,1.0,1.0,1.0,1.0,0.1875,0.48875898122787476,0.35199058055877686,0.476295530796051,0.4586188793182373,0.5021374821662903,0.5021374821662903,0.5021374821662903,0.5021374821662903,0.5021374821662903,3.025728702545166,3.025728702545166,3.025728702545166,3.025728702545166
13,1.0,1.0,1.0,1.0,0.21875,0.42745113372802734,0.35507410764694214,0.28819555044174194,0.4529334306716919,0.5024999976158142,0.5024999976158142,0.5024999976158142,0.5024999976158142,0.5024999976158142,2.9925613403320312,2.9925613403320312,2.9925613403320312,2.9925613403320312
14,1.0,1.0,1.0,0.96875,0.25,0.3019803464412689,0.38941478729248047,0.2532328963279724,0.5639661550521851,0.5000625252723694,0.5000625252723694,0.5000625252723694,0.5000625252723694,0.5000625252723694,2.979534864425659,2.979534864425659,2.979534864425659,2.979534864425659
