,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_5,train_acc_6,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,train_loss_6,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,0.0625,0.15625,0.1875,0.09375,0.15625,0.15625,0.0,5.250794410705566,5.063226222991943,5.158736228942871,5.3052473068237305,5.389687538146973,5.0227484703063965,0.12706249952316284,0.13007499277591705,0.13033124804496765,0.13015000522136688,0.12848125398159027,0.12655624747276306,0.35958126187324524,5.1655097007751465,5.153243541717529,5.175244331359863,5.156134128570557,5.191089630126953,5.178956031799316
1,0.78125,0.75,0.46875,0.6875,0.71875,0.75,0.46875,3.1589908599853516,3.1954197883605957,3.920300245285034,3.286133050918579,3.396310806274414,3.0657505989074707,0.26878124475479126,0.25924375653266907,0.2481437474489212,0.26628750562667847,0.26464998722076416,0.2572062611579895,0.531306266784668,4.449513912200928,4.4673943519592285,4.525679111480713,4.45920467376709,4.477248668670654,4.493927478790283
2,0.28125,0.8125,0.21875,0.875,0.6875,0.25,0.0,4.344460964202881,2.4381213188171387,4.597054481506348,2.4543323516845703,2.934196949005127,4.140202522277832,0.3373500108718872,0.33169373869895935,0.3226562440395355,0.33218124508857727,0.32928749918937683,0.33583125472068787,0.5991625189781189,4.048762321472168,4.050130367279053,4.095953941345215,4.06666898727417,4.078880310058594,4.057188987731934
3,0.96875,0.6875,0.90625,0.28125,0.78125,0.9375,0.09375,1.9180835485458374,2.927236795425415,1.8762105703353882,4.038854598999023,2.667396068572998,2.080260753631592,0.38231250643730164,0.37981873750686646,0.36704376339912415,0.37783750891685486,0.36198124289512634,0.3728562593460083,0.6417375206947327,3.763085126876831,3.756446123123169,3.8124475479125977,3.780571937561035,3.8490171432495117,3.8058085441589355
4,0.9375,0.84375,0.40625,0.9375,0.625,0.9375,0.125,1.6933845281600952,2.0603256225585938,3.8049702644348145,1.840653419494629,3.2974042892456055,1.6544299125671387,0.4136437475681305,0.4109250009059906,0.3898312449455261,0.4052562415599823,0.3893437385559082,0.39326250553131104,0.6668000221252441,3.5579030513763428,3.554356575012207,3.642045259475708,3.594276189804077,3.666290521621704,3.6429667472839355
5,1.0,0.96875,0.9375,1.0,1.0,0.875,0.15625,1.2179622650146484,1.7855052947998047,1.8831431865692139,1.322087287902832,1.331010103225708,1.8517366647720337,0.42448124289512634,0.4215874969959259,0.4063875079154968,0.42041873931884766,0.4037562608718872,0.410281240940094,0.6845374703407288,3.453066349029541,3.452026128768921,3.5181589126586914,3.4735476970672607,3.5414371490478516,3.5172741413116455
6,0.3125,1.0,1.0,1.0,0.84375,0.96875,0.03125,3.6426727771759033,1.1515436172485352,1.277602195739746,1.3257113695144653,2.0140340328216553,1.3327268362045288,0.4319562613964081,0.43326249718666077,0.4163624942302704,0.4265750050544739,0.41260623931884766,0.4236687421798706,0.6988562345504761,3.3719866275787354,3.355909824371338,3.434507131576538,3.393261671066284,3.462477445602417,3.4107725620269775
7,1.0,0.96875,1.0,1.0,1.0,0.90625,0.3125,0.8703637719154358,1.3310201168060303,0.9568861722946167,0.8751218914985657,1.020830512046814,1.6699035167694092,0.4351375102996826,0.44125625491142273,0.4249874949455261,0.4345812499523163,0.4190874993801117,0.43120625615119934,0.7095062732696533,3.318528890609741,3.288339376449585,3.3594067096710205,3.318114757537842,3.397834300994873,3.3359405994415283
8,0.9375,0.96875,0.84375,1.0,0.40625,0.96875,0.59375,1.6750613451004028,1.141141653060913,2.274193286895752,1.0295238494873047,3.4875001907348633,1.1710797548294067,0.4376375079154968,0.4447749853134155,0.43134376406669617,0.4394437372684479,0.4275062382221222,0.43597498536109924,0.718037486076355,3.2788093090057373,3.2373645305633545,3.303692102432251,3.2671194076538086,3.3353402614593506,3.285017251968384
9,1.0,0.9375,1.0,1.0,0.90625,1.0,0.15625,0.7356833219528198,0.8212924003601074,0.6852874755859375,0.7679847478866577,1.7968388795852661,0.7665727138519287,0.4417312443256378,0.4460437595844269,0.4358749985694885,0.4452812373638153,0.43252500891685486,0.4392875134944916,0.724887490272522,3.234876871109009,3.201458692550659,3.251901865005493,3.217541456222534,3.276277780532837,3.2399308681488037
