,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.9375,0.125,0.90625,0.90625,0.53125,2.0415170192718506,5.140422821044922,2.930631637573242,2.879638195037842,0.1709499955177307,0.1709499955177307,0.1709499955177307,0.1709499955177307,0.1709499955177307,4.813750267028809,4.813750267028809,4.813750267028809,4.813750267028809
1,1.0,0.96875,1.0,1.0,0.25,1.563136100769043,1.552833080291748,1.6760270595550537,1.6154670715332031,0.26327499747276306,0.26327499747276306,0.26327499747276306,0.26327499747276306,0.26327499747276306,4.352194309234619,4.352194309234619,4.352194309234619,4.352194309234619
2,0.96875,1.0,1.0,0.9375,0.1875,1.498354434967041,1.3581042289733887,1.260336995124817,1.7988977432250977,0.27527499198913574,0.27527499198913574,0.27527499198913574,0.27527499198913574,0.27527499198913574,4.243763446807861,4.243763446807861,4.243763446807861,4.243763446807861
3,1.0,1.0,0.9375,1.0,0.25,1.1105507612228394,0.8602295517921448,1.8551981449127197,1.6947115659713745,0.2762500047683716,0.2762500047683716,0.2762500047683716,0.2762500047683716,0.2762500047683716,4.196786880493164,4.196786880493164,4.196786880493164,4.196786880493164
4,0.9375,1.0,0.96875,1.0,0.21875,1.29115629196167,0.9470359086990356,0.984808087348938,1.0129400491714478,0.27129998803138733,0.27129998803138733,0.27129998803138733,0.27129998803138733,0.27129998803138733,4.165539264678955,4.165539264678955,4.165539264678955,4.165539264678955
5,1.0,0.96875,1.0,0.96875,0.25,0.8970711827278137,0.9835363626480103,0.8890198469161987,1.6366550922393799,0.2685000002384186,0.2685000002384186,0.2685000002384186,0.2685000002384186,0.2685000002384186,4.140170574188232,4.140170574188232,4.140170574188232,4.140170574188232
6,1.0,1.0,1.0,1.0,0.3125,0.5506211519241333,0.8185884952545166,0.7220020294189453,0.9090802669525146,0.26602500677108765,0.26602500677108765,0.26602500677108765,0.26602500677108765,0.26602500677108765,4.121010780334473,4.121010780334473,4.121010780334473,4.121010780334473
7,1.0,0.96875,0.96875,0.0625,0.4375,0.7228906154632568,0.7424725294113159,0.9185154438018799,4.4276323318481445,0.2621749937534332,0.2621749937534332,0.2621749937534332,0.2621749937534332,0.2621749937534332,4.107318878173828,4.107318878173828,4.107318878173828,4.107318878173828
8,1.0,1.0,1.0,1.0,0.0625,0.9144166111946106,0.861572265625,0.7338341474533081,0.6595086455345154,0.2628749907016754,0.2628749907016754,0.2628749907016754,0.2628749907016754,0.2628749907016754,4.0799102783203125,4.0799102783203125,4.0799102783203125,4.0799102783203125
9,1.0,0.96875,1.0,0.96875,0.34375,0.41047585010528564,0.7557179927825928,0.5822752714157104,0.6804971694946289,0.2642750144004822,0.2642750144004822,0.2642750144004822,0.2642750144004822,0.2642750144004822,4.051789283752441,4.051789283752441,4.051789283752441,4.051789283752441
10,1.0,1.0,0.21875,1.0,0.21875,0.5550069808959961,0.4996986389160156,4.323570251464844,0.38995322585105896,0.2623000144958496,0.2623000144958496,0.2623000144958496,0.2623000144958496,0.2623000144958496,4.039834976196289,4.039834976196289,4.039834976196289,4.039834976196289
11,1.0,1.0,1.0,1.0,0.3125,0.43898680806159973,0.6021816730499268,0.32485631108283997,0.5089657306671143,0.2691499888896942,0.2691499888896942,0.2691499888896942,0.2691499888896942,0.2691499888896942,4.00388765335083,4.00388765335083,4.00388765335083,4.00388765335083
12,1.0,1.0,0.96875,1.0,0.34375,0.34969401359558105,0.5266472101211548,0.6105533838272095,0.3425777554512024,0.2688499987125397,0.2688499987125397,0.2688499987125397,0.2688499987125397,0.2688499987125397,3.976173162460327,3.976173162460327,3.976173162460327,3.976173162460327
13,1.0,1.0,1.0,0.96875,0.125,0.28346672654151917,0.30498647689819336,0.24286913871765137,0.43575748801231384,0.27184998989105225,0.27184998989105225,0.27184998989105225,0.27184998989105225,0.27184998989105225,3.9549014568328857,3.9549014568328857,3.9549014568328857,3.9549014568328857
14,1.0,1.0,0.96875,0.96875,0.09375,0.3922191858291626,0.2690913677215576,0.4372788369655609,0.4681253433227539,0.26832500100135803,0.26832500100135803,0.26832500100135803,0.26832500100135803,0.26832500100135803,3.9569334983825684,3.9569334983825684,3.9569334983825684,3.9569334983825684
